Step,Link,Running Vehicles,Occupancy,Travel Time,CO,CO2,HC,PMx,NOx,Fuel,Speed
250,gneE32,0.68,0.009,18.163,19.121,1222.079,0.114,0.015,0.455,389.795,10.68
250,gneE33,1.208,0.022,12.892,53.812,3683.489,0.329,0.058,1.461,1174.87,10.765
250,gneE34,1.936,0.025,19.879,91.888,4938.079,0.531,0.081,1.977,1575.038,9.843
250,gneE35,0.78,0.01,18.852,29.497,1433.398,0.167,0.021,0.559,457.197,10.44
250,gneE36,1.26,0.023,13.121,55.099,3614.921,0.334,0.056,1.435,1153.002,10.587
250,gneE37,1.888,0.025,20.321,86.127,4475.082,0.494,0.07,1.778,1427.366,9.688
250,gneE38,0.672,0.009,18.358,21.827,1253.263,0.128,0.018,0.483,399.74,10.606
250,gneE39,1.232,0.022,12.975,54.849,3663.352,0.334,0.059,1.464,1168.446,10.686
250,gneE40,2.224,0.029,20.312,101.759,5256.153,0.584,0.084,2.099,1676.494,9.687
250,gneE41,0.84,0.011,18.639,29.932,1567.563,0.171,0.022,0.599,499.991,10.486
250,gneE42,1.336,0.024,12.923,59.955,4067.664,0.367,0.065,1.623,1297.404,10.742
250,gneE44,2.048,0.027,20.46,99.061,5053.919,0.567,0.082,2.021,1611.99,9.668
250,gneE45,0.504,0.01,13.096,26.014,1248.886,0.147,0.021,0.506,398.343,10.35
250,gneE45-n,0.236,0.005,12.293,10.241,537.213,0.059,0.009,0.214,171.349,10.824
250,gneE47,0.6,0.006,23.076,25.923,1350.43,0.149,0.021,0.532,430.732,10.49
250,gneE47-n,0.452,0.005,22.839,18.926,999.719,0.109,0.016,0.396,318.869,10.57
250,gneE48,0.572,0.006,22.466,22.587,1380.145,0.134,0.02,0.537,440.208,10.712
250,gneE48-n,0.996,0.011,23.351,39.725,2144.99,0.23,0.031,0.836,684.165,10.302
250,gneE49,0.316,0.006,12.913,16.118,819.295,0.092,0.014,0.335,261.32,10.692
250,gneE49-n,0.724,0.014,13.715,39.883,1710.555,0.221,0.03,0.704,545.597,9.992
250,gneE51,0.58,0.011,12.943,26.623,1359.409,0.153,0.023,0.55,433.594,10.46
250,gneE52,0.648,0.013,13.066,21.629,1179.883,0.125,0.016,0.449,376.336,10.422
250,gneE53,0.272,0.005,7.342,24.976,1354.369,0.146,0.029,0.583,431.979,18.361
250,gneE53-n,0.372,0.007,7.919,35.46,1790.261,0.204,0.038,0.771,571.009,17.77
250,gneE54,0.32,0.003,12.91,22.183,1496.822,0.136,0.029,0.616,477.415,18.555
250,gneE54-n,0.444,0.005,13.881,29.66,1853.833,0.177,0.035,0.756,591.286,17.916
250,gneE55,0.304,0.003,13.395,18.028,1237.192,0.11,0.024,0.505,394.605,18.395
250,gneE55-n,0.476,0.005,13.496,36.508,2245.816,0.219,0.045,0.937,716.308,17.995
250,gneE56,0.112,0.002,7.059,9.404,491.232,0.054,0.01,0.208,156.68,18.907
250,gneE56-n,0.428,0.008,7.774,39.006,2098.313,0.228,0.044,0.903,669.262,17.621
250,gneE57,0.688,0.013,12.884,25.906,1251.454,0.146,0.018,0.482,399.166,10.425
250,gneE58,0.432,0.008,12.781,18.237,933.856,0.104,0.014,0.369,297.862,10.558
250,gneE59,0.776,0.015,13.609,30.501,1386.288,0.17,0.021,0.54,442.173,10.112
250,gneE60,0.592,0.011,12.813,28.242,1390.909,0.161,0.022,0.554,443.643,10.492
250,gneE61,0.312,0.006,12.438,15.131,805.981,0.087,0.014,0.325,257.073,10.79
250,gneE62,0.724,0.014,15.401,26.403,1338.084,0.15,0.02,0.517,426.796,10.387
250,gneE63,1.492,0.004,90.155,40.881,3612.537,0.267,0.048,1.361,1152.243,11.056
250,gneE63-n,32.544,0.082,124.988,1449.804,68090.679,8.148,1.033,26.817,21718.241,8.234
250,gneE64,0.976,0.002,90.433,30.212,2406.147,0.191,0.033,0.919,767.457,11.023
250,gneE64-n,32,0.081,122.526,1416.003,67599.038,7.983,1.03,26.591,21561.412,8.408
250,gneE65,1.452,0.004,90.756,40.531,3409.735,0.261,0.045,1.289,1087.559,10.979
250,gneE65-n,33.456,0.084,130.276,1597.777,70115.468,8.872,1.09,27.791,22364.106,7.954
250,gneE66,1.092,0.003,90.812,32.677,2600.423,0.208,0.036,0.996,829.422,10.974
250,gneE66-n,32.712,0.082,125.976,1426.841,68148.913,8.045,1.029,26.848,21736.803,8.077
500,gneE32,6.32,0.083,34.812,406.993,11620.3,2.12,0.212,4.828,3706.477,5.893
500,gneE33,4.012,0.072,13.883,173.716,11659.72,1.059,0.182,4.633,3718.937,9.984
500,gneE34,3.76,0.05,23.414,182.123,9032.394,1.036,0.144,3.604,2880.963,8.337
500,gneE35,3.764,0.05,25.164,166.452,6706.392,0.91,0.104,2.653,2139.087,7.961
500,gneE36,3.744,0.068,13.974,157.654,10619.957,0.962,0.162,4.195,3387.302,9.922
500,gneE37,3.984,0.053,24.655,205.681,9366.822,1.152,0.154,3.767,2987.637,8.008
500,gneE38,3.788,0.05,25.201,168.661,6780.484,0.922,0.105,2.678,2162.72,8.067
500,gneE39,3.56,0.064,13.827,152.746,10285.56,0.932,0.16,4.078,3280.641,10.028
500,gneE40,5.264,0.069,26.079,273.21,11924.157,1.517,0.197,4.803,3803.33,7.586
500,gneE41,4.192,0.056,26.65,178.888,7627.116,0.987,0.114,2.985,2432.762,8.13
500,gneE42,3.776,0.068,13.888,158.849,10721.465,0.969,0.165,4.239,3419.678,9.987
500,gneE44,3.712,0.049,23.674,176.112,8675.134,1.001,0.138,3.462,2767.012,8.234
500,gneE45,1.1,0.022,14.58,59.426,2756.616,0.334,0.047,1.122,879.246,9.577
500,gneE45-n,1.068,0.021,16.415,55.73,2681.857,0.316,0.046,1.089,855.4,9.621
500,gneE47,1.968,0.021,26.878,90.511,4495.019,0.514,0.071,1.782,1433.728,9.231
500,gneE47-n,1.816,0.02,26.404,70.086,3985.868,0.409,0.058,1.546,1271.328,9.494
500,gneE48,1.028,0.011,25.309,37.793,2278.764,0.223,0.033,0.882,726.831,10.197
500,gneE48-n,1.668,0.018,26.38,73.041,3799.053,0.419,0.059,1.499,1211.742,9.617
500,gneE49,0.68,0.013,14.993,35.989,1711.079,0.204,0.029,0.695,545.763,10.026
500,gneE49-n,1.088,0.022,14.783,60.585,2608.61,0.336,0.045,1.065,832.041,9.444
500,gneE51,2.076,0.041,16.142,98.12,4683.113,0.555,0.078,1.886,1493.72,8.669
500,gneE52,2.32,0.046,17.802,93.346,4012.066,0.515,0.059,1.561,1279.698,8.409
500,gneE53,0.944,0.019,8.922,84.059,4379.644,0.487,0.091,1.874,1396.9,15.561
500,gneE53-n,1.572,0.031,17.046,143.767,7085.117,0.824,0.148,3.039,2259.824,12.821
500,gneE54,1.232,0.014,15.495,91.913,5515.061,0.546,0.11,2.287,1759.044,16
500,gneE54-n,1.088,0.012,15.402,77.269,4620.741,0.458,0.091,1.906,1473.8,16.172
500,gneE55,1.168,0.013,16.28,86.588,5187.615,0.514,0.104,2.157,1654.604,15.867
500,gneE55-n,0.804,0.009,14.723,61.887,3411.723,0.361,0.068,1.42,1088.181,16.865
500,gneE56,0.868,0.017,9.408,78.271,4164.316,0.455,0.087,1.78,1328.22,15.483
500,gneE56-n,0.496,0.01,7.97,45.793,2357.1,0.265,0.05,1.016,751.803,17.29
500,gneE57,2.72,0.053,18.887,125.606,4711.922,0.679,0.075,1.877,1502.93,7.649
500,gneE58,2.328,0.046,16.468,103.872,5176.288,0.591,0.083,2.063,1651.023,8.544
500,gneE59,2.192,0.043,16.864,90.179,3831.682,0.498,0.057,1.497,1222.162,8.484
500,gneE60,2.26,0.044,17.637,128.076,5059.083,0.699,0.086,2.054,1613.65,8.14
500,gneE61,1.172,0.023,14.852,60.715,2655.972,0.337,0.044,1.07,847.149,9.477
500,gneE62,2.176,0.042,16.429,93.669,3752.933,0.511,0.057,1.478,1197.046,8.463
500,gneE63,18.112,0.045,98.285,477.649,38526.608,3.039,0.487,14.446,12288.369,10.14
500,gneE63-n,66.012,0.166,236.184,4189.551,119510.171,21.824,2.216,50.044,38119.59,4.367
500,gneE64,18.128,0.045,98.744,485.395,38484.334,3.074,0.487,14.445,12274.889,10.088
500,gneE64-n,67.552,0.17,249.208,4589.803,125374.579,23.787,2.383,52.873,39990.19,4.182
