Step,Link,Running Vehicles,Occupancy,Travel Time,CO,CO2,HC,PMx,NOx,Fuel,Speed
250,gneE32,0.68,9,18163,19121,1222079,114,15,455,389795,10.68
250,gneE33,1208,22,12892,53812,3683489,329,58,1461,1174.87,10765
250,gneE34,1936,25,19879,91888,4938079,531,81,1977,1575038,9843
250,gneE35,0.78,0.01,18852,29497,1433398,167,21,559,457197,10.44
250,gneE36,1.26,23,13121,55099,3614921,334,56,1435,1153002,10587
250,gneE37,1888,25,20321,86127,4475082,494,0.07,1778,1427366,9688
250,gneE38,672,9,18358,21827,1253263,128,18,483,399.74,10606
250,gneE39,1232,22,12975,54849,3663352,334,59,1464,1168446,10686
250,gneE40,2224,29,20312,101759,5256153,584,84,2099,1676494,9687
250,gneE41,0.84,11,18639,29932,1567563,171,22,599,499991,10486
250,gneE42,1336,24,12923,59955,4067664,367,65,1623,1297404,10742
250,gneE44,2048,27,20.46,99061,5053919,567,82,2021,1611.99,9668
250,gneE45,504,0.01,13096,26014,1248886,147,21,506,398343,10.35
250,gneE45-n,236,5,12293,10241,537213,59,9,214,171349,10824
250,gneE47,0.6,6,23076,25923,1350.43,149,21,532,430732,10.49
250,gneE47-n,452,5,22839,18926,999719,109,16,396,318869,10.57
250,gneE48,572,6,22466,22587,1380145,134,0.02,537,440208,10712
250,gneE48-n,996,11,23351,39725,2144.99,0.23,31,836,684165,10302
250,gneE49,316,6,12913,16118,819295,92,14,335,261.32,10692
250,gneE49-n,724,14,13715,39883,1710555,221,0.03,704,545597,9992
250,gneE51,0.58,11,12943,26623,1359409,153,23,0.55,433594,10.46
250,gneE52,648,13,13066,21629,1179883,125,16,449,376336,10422
250,gneE53,272,5,7342,24976,1354369,146,29,583,431979,18361
250,gneE53-n,372,7,7919,35.46,1790261,204,38,771,571009,17.77
250,gneE54,0.32,3,12.91,22183,1496822,136,29,616,477415,18555
250,gneE54-n,444,5,13881,29.66,1853833,177,35,756,591286,17916
250,gneE55,304,3,13395,18028,1237192,0.11,24,505,394605,18395
250,gneE55-n,476,5,13496,36508,2245816,219,45,937,716308,17995
250,gneE56,112,2,7059,9404,491232,54,0.01,208,156.68,18907
250,gneE56-n,428,8,7774,39006,2098313,228,44,903,669262,17621
250,gneE57,688,13,12884,25906,1251454,146,18,482,399166,10425
250,gneE58,432,8,12781,18237,933856,104,14,369,297862,10558
250,gneE59,776,15,13609,30501,1386288,0.17,21,0.54,442173,10112
250,gneE60,592,11,12813,28242,1390909,161,22,554,443643,10492
250,gneE61,312,6,12438,15131,805981,87,14,325,257073,10.79
250,gneE62,724,14,15401,26403,1338084,0.15,0.02,517,426796,10387
250,gneE63,1492,4,90155,40881,3612537,267,48,1361,1152243,11056
250,gneE63-n,32544,82,124988,1449804,68090679,8148,1033,26817,21718241,8234
250,gneE64,976,2,90433,30212,2406147,191,33,919,767457,11023
250,gneE64-n,32,81,122526,1416003,67599038,7983,1.03,26591,21561412,8408
250,gneE65,1452,4,90756,40531,3409735,261,45,1289,1087559,10979
250,gneE65-n,33456,84,130276,1597777,70115468,8872,1.09,27791,22364106,7954
250,gneE66,1092,3,90812,32677,2600423,208,36,996,829422,10974
250,gneE66-n,32712,82,125976,1426841,68148913,8045,1029,26848,21736803,8077
500,gneE32,6.32,83,34812,406993,11620.3,2.12,212,4828,3706477,5893
500,gneE33,4012,72,13883,173716,11659.72,1059,182,4633,3718937,9984
500,gneE34,3.76,0.05,23414,182123,9032394,1036,144,3604,2880963,8337
500,gneE35,3764,0.05,25164,166452,6706392,0.91,104,2653,2139087,7961
